room	label	lat	long	level	geometry
http://id.southampton.ac.uk/room/32-3031	32 / 3031	50.9361895	-1.395729539	3	POLYGON((-1.3957580914 50.9362019744,-1.3957050908 50.9362052012,-1.39570015 50.9361776885,-1.3957542286 50.9361733861,-1.3957580914 50.9362019744))
http://id.southampton.ac.uk/room/32-3033	32 / 3033	50.93616482	-1.395725506	3	POLYGON((-1.3957542286 50.9361733861,-1.39570015 50.9361776885,-1.3956970059 50.9361560633,-1.3957509048 50.9361521005,-1.3957542286 50.9361733861))
http://id.southampton.ac.uk/room/32-3035	32 / 3035	50.93614183	-1.395721717	3	POLYGON((-1.3957509048 50.9361521005,-1.3956970059 50.9361560633,-1.3956924245 50.936131381,-1.3957468624 50.9361278146,-1.3957509048 50.9361521005))
http://id.southampton.ac.uk/room/32-3037	32 / 3037	50.93611798	-1.395717948	3	POLYGON((-1.3957468624 50.9361278146,-1.3956924245 50.936131381,-1.3956891906 50.9361083971,-1.39574282 50.9361042646,-1.3957468624 50.9361278146))
http://id.southampton.ac.uk/room/32-3039	32 / 3039	50.93609681	-1.395714346	3	POLYGON((-1.39574282 50.9361042646,-1.3956891906 50.9361083971,-1.3956855075 50.9360890929,-1.3957405742 50.936085583,-1.39574282 50.9361042646))
http://id.southampton.ac.uk/room/32-3041	32 / 3041	50.93607688	-1.395711192	3	POLYGON((-1.3957405742 50.936085583,-1.3956855075 50.9360890929,-1.395682543 50.9360678639,-1.395736442 50.9360648069,-1.3957405742 50.936085583))
http://id.southampton.ac.uk/room/32-3043	32 / 3043	50.93605242	-1.395721798	3	POLYGON((-1.3957650084 50.9360620896,-1.395736442 50.9360648069,-1.395682543 50.9360678639,-1.395678321 50.9360422759,-1.3957613253 50.9360367846,-1.3957650084 50.9360620896))
http://id.southampton.ac.uk/room/32-3045	32 / 3045	50.93605204	-1.395800008	3	POLYGON((-1.3958389397 50.9360670148,-1.3958212429 50.9360683734,-1.395767344 50.9360721097,-1.3957650084 50.9360620896,-1.3957613253 50.9360367846,-1.3958332803 50.936032086,-1.3958389397 50.9360670148))
http://id.southampton.ac.uk/room/32-3047	32 / 3047	50.93607877	-1.395795914	3	POLYGON((-1.3958253752 50.9360854132,-1.3957693203 50.9360889797,-1.395767344 50.9360721097,-1.3958212429 50.9360683734,-1.3958253752 50.9360854132))
http://id.southampton.ac.uk/room/32-3051	32 / 3051	50.9360475	-1.395865225	3	POLYGON((-1.3958967912 50.9360627689,-1.3958389397 50.9360670148,-1.3958332803 50.936032086,-1.3958922098 50.936028293,-1.3958967912 50.9360627689))
